Date,Open,High,Low,Close,Volume,Quote_Volume,48-zscore
2021-10-02 19:35:00,1.02680000,1.02760000,1.02550000,1.0263,3474.00000000,3567.62840000,
2021-10-02 19:40:00,1.02700000,1.02710000,1.02570000,1.0264,5880.00000000,6035.74820000,
2021-10-02 19:45:00,1.02730000,1.02770000,1.02130000,1.0221,87103.00000000,89023.71940000,
2021-10-02 19:50:00,1.02130000,1.02290000,1.01980000,1.0214,23362.00000000,23851.20500000,
2021-10-02 19:55:00,1.02100000,1.02370000,1.02050000,1.0223,18631.00000000,19041.35830000,
2021-10-02 20:00:00,1.02230000,1.02230000,1.01980000,1.0205,13440.00000000,13722.35630000,
2021-10-02 20:05:00,1.02020000,1.02120000,1.01820000,1.0188,21151.00000000,21565.49590000,
2021-10-02 20:10:00,1.01870000,1.01870000,1.01560000,1.0177,22892.00000000,23276.55480000,
2021-10-02 20:15:00,1.01740000,1.02200000,1.01670000,1.0209,20969.00000000,21395.44770000,
2021-10-02 20:20:00,1.01990000,1.02140000,1.01390000,1.0144,24209.00000000,24651.99410000,
2021-10-02 20:25:00,1.01360000,1.01450000,1.00740000,1.0112,36428.00000000,36784.26220000,
2021-10-02 20:30:00,1.01070000,1.01420000,1.01070000,1.013,24895.00000000,25203.51800000,
2021-10-02 20:35:00,1.01240000,1.01440000,1.01210000,1.0134,32751.00000000,33192.26600000,
2021-10-02 20:40:00,1.01340000,1.01500000,1.00930000,1.0124,25104.00000000,25404.06840000,
2021-10-02 20:45:00,1.01230000,1.01410000,1.01090000,1.0117,5221.00000000,5285.44750000,
2021-10-02 20:50:00,1.01140000,1.01620000,1.01140000,1.014,18926.00000000,19203.30630000,
2021-10-02 20:55:00,1.01340000,1.01720000,1.01340000,1.015,62368.00000000,63374.37700000,
2021-10-02 21:00:00,1.01480000,1.01880000,1.01480000,1.0172,19194.00000000,19527.21810000,
2021-10-02 21:05:00,1.01740000,1.01890000,1.01740000,1.0184,2076.00000000,2114.31770000,
2021-10-02 21:10:00,1.01860000,1.01990000,1.01680000,1.018,6305.00000000,6422.72380000,
2021-10-02 21:15:00,1.01740000,1.01870000,1.01630000,1.0169,4296.00000000,4373.25270000,
2021-10-02 21:20:00,1.01710000,1.01840000,1.01540000,1.0154,2971.00000000,3022.64120000,
2021-10-02 21:25:00,1.01570000,1.01670000,1.01510000,1.0164,10714.00000000,10884.31390000,
2021-10-02 21:30:00,1.01640000,1.01800000,1.01560000,1.0178,27407.00000000,27874.91250000,
2021-10-02 21:35:00,1.01810000,1.02300000,1.01500000,1.0228,100375.00000000,102219.44490000,
2021-10-02 21:40:00,1.02200000,1.02490000,1.02180000,1.0229,18616.00000000,19043.96340000,
2021-10-02 21:45:00,1.02200000,1.02350000,1.02140000,1.0219,4340.00000000,4436.38790000,
2021-10-02 21:50:00,1.02110000,1.02220000,1.01950000,1.0206,1739.00000000,1774.00200000,
2021-10-02 21:55:00,1.02150000,1.02150000,1.01930000,1.0197,2659.00000000,2713.14760000,
2021-10-02 22:00:00,1.01980000,1.02490000,1.01980000,1.0241,23163.00000000,23684.95700000,
2021-10-02 22:05:00,1.02480000,1.02570000,1.02170000,1.0254,8055.00000000,8238.54020000,
2021-10-02 22:10:00,1.02630000,1.02820000,1.02480000,1.028,17141.00000000,17605.51450000,
2021-10-02 22:15:00,1.02800000,1.02830000,1.02570000,1.0283,6347.00000000,6521.31550000,
2021-10-02 22:20:00,1.02790000,1.03030000,1.02790000,1.029,14627.00000000,15055.18210000,
2021-10-02 22:25:00,1.02960000,1.02960000,1.02680000,1.0284,8197.00000000,8425.50110000,
2021-10-02 22:30:00,1.02810000,1.02810000,1.02360000,1.0242,11611.00000000,11923.72210000,
2021-10-02 22:35:00,1.02420000,1.02740000,1.02360000,1.0252,12255.00000000,12563.64850000,
2021-10-02 22:40:00,1.02390000,1.02390000,1.02080000,1.0211,5436.00000000,5554.72080000,
2021-10-02 22:45:00,1.02100000,1.02300000,1.02000000,1.0221,3226.00000000,3295.34730000,
2021-10-02 22:50:00,1.02160000,1.02210000,1.01400000,1.014,65992.00000000,67132.37630000,
2021-10-02 22:55:00,1.01430000,1.01480000,1.01050000,1.0113,14431.00000000,14618.16240000,
2021-10-02 23:00:00,1.01050000,1.01890000,1.01050000,1.0178,13596.00000000,13804.61810000,
2021-10-02 23:05:00,1.01760000,1.03210000,1.01710000,1.0306,150470.00000000,154339.39400000,
2021-10-02 23:10:00,1.03060000,1.03090000,1.02420000,1.0255,15502.00000000,15927.77180000,
2021-10-02 23:15:00,1.02500000,1.02620000,1.02400000,1.0252,5666.00000000,5806.67480000,
2021-10-02 23:20:00,1.02450000,1.02490000,1.01700000,1.0172,13045.00000000,13319.25160000,
2021-10-02 23:25:00,1.01720000,1.01720000,0.99600000,0.998,172810.00000000,173743.63670000,
2021-10-02 23:30:00,0.99730000,0.99900000,0.98660000,0.9951,137171.00000000,136153.25640000,
2021-10-02 23:35:00,0.99440000,1.00340000,0.98860000,0.9911,92529.00000000,92395.04100000,
2021-10-02 23:40:00,0.99210000,0.99510000,0.98500000,0.9862,243364.00000000,241014.13350000,
2021-10-02 23:45:00,0.98550000,0.99210000,0.98070000,0.9853,434485.00000000,428120.91370000,
2021-10-02 23:50:00,0.98530000,0.99010000,0.98480000,0.9898,79436.00000000,78546.18060000,
2021-10-02 23:55:00,0.99000000,0.99080000,0.98670000,0.987,68068.00000000,67317.05070000,
2021-10-03 00:00:00,0.98730000,0.99470000,0.98520000,0.994,50912.00000000,50371.07790000,
2021-10-03 00:05:00,0.99370000,0.99640000,0.99000000,0.9924,32608.00000000,32366.65150000,
2021-10-03 00:10:00,0.99150000,0.99220000,0.99000000,0.9911,10988.00000000,10893.97010000,
2021-10-03 00:15:00,0.99150000,0.99520000,0.99040000,0.9929,31101.00000000,30883.12960000,
2021-10-03 00:20:00,0.99220000,0.99760000,0.99220000,0.9962,14373.00000000,14311.95020000,
2021-10-03 00:25:00,0.99640000,0.99870000,0.99580000,0.998,13878.00000000,13841.16240000,
2021-10-03 00:30:00,0.99740000,0.99880000,0.99340000,0.9938,12305.00000000,12263.21510000,
2021-10-03 00:35:00,0.99390000,0.99410000,0.98990000,0.9899,40957.00000000,40669.59650000,
2021-10-03 00:40:00,0.98910000,0.99070000,0.98550000,0.987,14765.00000000,14587.02410000,
2021-10-03 00:45:00,0.98540000,0.98740000,0.96500000,0.966,198838.00000000,193593.89290000,
2021-10-03 00:50:00,0.96700000,0.97210000,0.96010000,0.9679,114189.00000000,110259.86640000,
2021-10-03 00:55:00,0.96790000,0.97230000,0.96420000,0.9695,73274.00000000,70947.51910000,
2021-10-03 01:00:00,0.96740000,0.97780000,0.96740000,0.9755,35724.00000000,34824.33050000,
2021-10-03 01:05:00,0.97570000,0.97730000,0.97240000,0.9763,18593.00000000,18131.26070000,
2021-10-03 01:10:00,0.97600000,0.97730000,0.96840000,0.9691,32943.00000000,32009.77440000,
2021-10-03 01:15:00,0.97030000,0.97830000,0.96220000,0.9762,63171.00000000,61197.28740000,
2021-10-03 01:20:00,0.97610000,0.98040000,0.96950000,0.9695,60248.00000000,58849.03740000,
2021-10-03 01:25:00,0.96980000,0.97670000,0.96950000,0.9753,10429.00000000,10154.16940000,
2021-10-03 01:30:00,0.97380000,0.97510000,0.97180000,0.9722,5373.00000000,5229.79980000,
2021-10-03 01:35:00,0.97250000,0.97840000,0.97170000,0.9775,24522.00000000,23927.76760000,
2021-10-03 01:40:00,0.97800000,0.98240000,0.97800000,0.9824,19290.00000000,18930.60150000,
2021-10-03 01:45:00,0.98260000,0.98450000,0.98090000,0.9838,5215.00000000,5128.47520000,
2021-10-03 01:50:00,0.98430000,0.98550000,0.98230000,0.9823,16742.00000000,16477.30290000,
2021-10-03 01:55:00,0.98200000,0.98380000,0.98060000,0.9815,8202.00000000,8053.54420000,
2021-10-03 02:00:00,0.98060000,0.98460000,0.97940000,0.9833,15839.00000000,15548.59810000,
2021-10-03 02:05:00,0.98380000,0.99030000,0.98100000,0.9903,29595.00000000,29199.84110000,
2021-10-03 02:10:00,0.99050000,0.99290000,0.98990000,0.9917,20559.00000000,20387.21120000,
2021-10-03 02:15:00,0.99180000,0.99770000,0.99020000,0.9963,48444.00000000,48193.60950000,
2021-10-03 02:20:00,0.99650000,0.99900000,0.99410000,0.9989,27907.00000000,27797.69300000,
2021-10-03 02:25:00,0.99830000,1.00130000,0.99600000,1.0007,26499.00000000,26479.72720000,
2021-10-03 02:30:00,1.00060000,1.00060000,0.99700000,0.9996,15165.00000000,15141.63050000,
2021-10-03 02:35:00,0.99960000,0.99960000,0.99700000,0.9976,5740.00000000,5728.34010000,
2021-10-03 02:40:00,0.99790000,0.99870000,0.99600000,0.997,8571.00000000,8544.26310000,
2021-10-03 02:45:00,0.99690000,0.99740000,0.99150000,0.993,16985.00000000,16876.07320000,
2021-10-03 02:50:00,0.99200000,0.99610000,0.99070000,0.9956,7251.00000000,7205.63490000,
2021-10-03 02:55:00,0.99560000,0.99610000,0.99060000,0.9906,43296.00000000,42941.94650000,
2021-10-03 03:00:00,0.99110000,0.99300000,0.98800000,0.993,10572.00000000,10473.11560000,
2021-10-03 03:05:00,0.99310000,0.99310000,0.98880000,0.9888,15263.00000000,15107.85860000,
2021-10-03 03:10:00,0.99010000,0.99320000,0.98940000,0.9901,21587.00000000,21406.77500000,
2021-10-03 03:15:00,0.98940000,0.99760000,0.98820000,0.9963,24840.00000000,24661.74780000,
2021-10-03 03:20:00,0.99750000,0.99750000,0.99140000,0.996,13879.00000000,13800.96230000,
2021-10-03 03:25:00,0.99540000,0.99550000,0.99370000,0.9938,4914.00000000,4886.99460000,0.6939330210004728
2021-10-03 03:30:00,0.99550000,0.99990000,0.99550000,0.9996,13677.00000000,13655.24990000,1.1600719127672525
2021-10-03 03:35:00,0.99960000,1.00000000,0.99850000,0.9996,15336.00000000,15331.11620000,1.1910867224038806
2021-10-03 03:40:00,1.00050000,1.00080000,0.99700000,0.9996,59264.00000000,59215.42620000,1.200352413513341
2021-10-03 03:45:00,0.99900000,0.99900000,0.99550000,0.9957,8720.00000000,8687.59910000,0.9553705019385375
2021-10-03 03:50:00,0.99540000,1.00350000,0.99540000,1.0008,12516.00000000,12522.85560000,1.342794983216986
2021-10-03 03:55:00,1.00060000,1.00490000,0.99960000,1.0035,17589.00000000,17656.67630000,1.5227775760288722
2021-10-03 04:00:00,1.00410000,1.00490000,1.00020000,1.0028,13140.00000000,13168.60680000,1.45992927953007
2021-10-03 04:05:00,1.00170000,1.00490000,1.00160000,1.0043,8115.00000000,8136.46050000,1.5437264536126132
2021-10-03 04:10:00,1.00440000,1.00810000,1.00390000,1.0072,19474.00000000,19582.44360000,1.6859251340285768
2021-10-03 04:15:00,1.00650000,1.01010000,1.00380000,1.0076,121579.00000000,122593.06270000,1.548270213707531
2021-10-03 04:20:00,1.00750000,1.00830000,1.00640000,1.007,3967.00000000,3994.78840000,1.478315164733318
2021-10-03 04:25:00,1.00790000,1.01090000,1.00700000,1.0097,14369.00000000,14506.38320000,1.604099961984816
2021-10-03 04:30:00,1.00990000,1.00990000,1.00620000,1.007,7403.00000000,7468.39840000,1.4016602790377912
2021-10-03 04:35:00,1.00790000,1.00900000,1.00300000,1.0062,38371.00000000,38592.56990000,1.3060265459155447
2021-10-03 04:40:00,1.00630000,1.00730000,1.00390000,1.0044,23055.00000000,23172.30780000,1.1671462355549305
2021-10-03 04:45:00,1.00420000,1.00560000,1.00230000,1.0046,29237.00000000,29353.86970000,0.9897132261745225
2021-10-03 04:50:00,1.00580000,1.00670000,1.00290000,1.0067,35343.00000000,35520.96620000,0.9809391126815024
2021-10-03 04:55:00,1.00610000,1.00750000,1.00570000,1.0069,4341.00000000,4369.05610000,0.9117393260546454
2021-10-03 05:00:00,1.00690000,1.00740000,1.00310000,1.0056,25881.00000000,25998.51440000,0.7750247464848625
2021-10-03 05:05:00,1.00690000,1.01040000,1.00580000,1.0102,12336.00000000,12428.58380000,1.052847887899515
2021-10-03 05:10:00,1.01000000,1.01380000,1.00890000,1.0136,66188.00000000,66956.21990000,1.1709720968670319
2021-10-03 05:15:00,1.01340000,1.01500000,1.01050000,1.0117,14332.00000000,14509.65140000,0.9507606861754951
