symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BNBUSDT,5M,null,500,-1.4457751604578855,-7.228875802289427,492.77112419771055,2021-07-14 00:50:00,2021-07-14 09:00:00,0 days 08:10:00,5757.65910000,1741447.33022200
BNBUSDT,5M,null,500,-1.0496595249958562,-5.248297624979281,494.75170237502067,2021-07-14 01:05:00,2021-07-14 09:00:00,0 days 07:55:00,12670.61490000,3814973.34217000
BNBUSDT,5M,null,500,-0.07715014088287206,-0.3857507044143603,499.61424929558564,2021-07-14 01:15:00,2021-07-14 09:00:00,0 days 07:45:00,17652.20230000,5239580.33566100
BNBUSDT,5M,null,500,-0.170911528150131,-0.854557640750655,499.14544235924933,2021-07-14 01:25:00,2021-07-14 09:00:00,0 days 07:35:00,3659.96130000,1092687.27835400
BNBUSDT,5M,null,500,1.1992118494360553,5.996059247180277,505.99605924718026,2021-07-14 03:20:00,2021-07-14 09:00:00,0 days 05:40:00,31192.86560000,9195724.46128500
BNBUSDT,5M,null,500,1.423172517108715,7.115862585543575,507.11586258554354,2021-07-14 03:30:00,2021-07-14 09:00:00,0 days 05:30:00,15318.91170000,4486827.64850000
BNBUSDT,5M,null,500,1.606521590831564,8.03260795415782,508.0326079541578,2021-07-14 03:45:00,2021-07-14 09:00:00,0 days 05:15:00,9475.12630000,2784723.01455800
BNBUSDT,5M,null,500,-1.1360249064352688,-5.680124532176344,494.31987546782364,2021-07-14 00:55:00,2021-07-14 09:10:00,0 days 08:15:00,10860.95860000,3280913.70182300
BNBUSDT,5M,null,500,-0.1839157331549946,-0.919578665774973,499.08042133422504,2021-07-14 01:20:00,2021-07-14 09:10:00,0 days 07:50:00,7247.65800000,2166014.94242200
BNBUSDT,5M,null,500,1.4029962292353144,7.014981146176572,507.0149811461766,2021-07-14 03:25:00,2021-07-14 09:10:00,0 days 05:45:00,16993.42780000,4994621.14456400
BNBUSDT,5M,null,500,1.7358770392341838,8.67938519617092,508.6793851961709,2021-07-14 01:10:00,2021-07-14 09:15:00,0 days 08:05:00,42977.88420000,12833106.27398100
BNBUSDT,5M,null,500,2.796131053742926,13.98065526871463,513.9806552687146,2021-07-14 03:35:00,2021-07-14 09:15:00,0 days 05:40:00,7530.19940000,2208493.36879300
BNBUSDT,5M,null,500,0.8973414585146823,4.486707292573411,504.4867072925734,2021-07-14 01:30:00,2021-07-14 09:20:00,0 days 07:50:00,9344.65410000,2785034.25096100
BNBUSDT,5M,null,500,0.7277583041228531,3.638791520614266,503.6387915206143,2021-07-19 00:45:00,2021-07-19 05:45:00,0 days 05:00:00,5178.82660000,1552311.96352000
BNBUSDT,5M,null,500,1.099011559725257,5.495057798626285,505.49505779862625,2021-07-19 01:00:00,2021-07-19 05:45:00,0 days 04:45:00,7754.01990000,2316014.99934000
BNBUSDT,5M,null,500,1.1905560399758572,5.952780199879286,505.9527801998793,2021-07-19 01:10:00,2021-07-19 05:45:00,0 days 04:35:00,5410.39420000,1615831.28620900
BNBUSDT,5M,null,500,1.2788668098818483,6.394334049409241,506.3943340494093,2021-07-19 01:20:00,2021-07-19 05:45:00,0 days 04:25:00,2294.02560000,683852.65977300
BNBUSDT,5M,null,500,0.9131350971669268,4.565675485834634,504.5656754858346,2021-07-19 00:50:00,2021-07-19 05:50:00,0 days 05:00:00,4077.89830000,1220319.15976300
BNBUSDT,5M,null,500,1.336826548434758,6.684132742173789,506.68413274217386,2021-07-19 01:15:00,2021-07-19 05:50:00,0 days 04:35:00,3262.96090000,972499.20973300
BNBUSDT,5M,null,500,0.9273208128285089,4.636604064142545,504.63660406414255,2021-07-19 01:05:00,2021-07-19 05:55:00,0 days 04:50:00,10926.57850000,3261008.52497500
BNBUSDT,5M,null,500,1.3531165220886292,6.765582610443146,506.7655826104431,2021-07-19 01:25:00,2021-07-19 07:15:00,0 days 05:50:00,1915.13000000,571334.41990900
BNBUSDT,5M,null,500,-7.943512797881723,-39.71756398940862,460.28243601059137,2021-07-19 12:00:00,2021-07-20 15:25:00,1 days 03:25:00,11240.34120000,3308997.65377700
BNBUSDT,5M,null,500,-7.884099324025945,-39.420496620129725,460.5795033798703,2021-07-19 12:15:00,2021-07-20 15:25:00,1 days 03:10:00,10087.17770000,2960379.61958100
BNBUSDT,5M,null,500,-7.604770017035772,-38.023850085178864,461.9761499148212,2021-07-19 12:25:00,2021-07-20 15:25:00,1 days 03:00:00,2741.67360000,804545.87276300
BNBUSDT,5M,null,500,-4.969161760583125,-24.845808802915627,475.15419119708434,2021-07-19 12:35:00,2021-07-20 15:25:00,1 days 02:50:00,73721.12470000,21067205.11528300
BNBUSDT,5M,null,500,-4.091954022988503,-20.459770114942515,479.5402298850575,2021-07-19 12:45:00,2021-07-20 15:25:00,1 days 02:40:00,31579.34580000,8925605.63048600
BNBUSDT,5M,null,500,-4.04783808647654,-20.2391904323827,479.7608095676173,2021-07-19 12:55:00,2021-07-20 15:25:00,1 days 02:30:00,9895.91570000,2799957.82410300
