Column1,id,symbol,type,interval,amount,startDate,endDate,Column2,buy,sell,growth/drop,closed,high,low,Volume,RSI,BTC,coin,V-BTC,V-B,V-C,status,sell_zscore
144,f11d0e41-8d39-11ec-9802-f4d1080d95a2,YFIUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,22483.68,22598.9,0.512460594,TRUE,22598.9,22447.4,1.08817,27.88061315,-0.041732231,-0.091933349,1.08817,-271.8110399,-1055.8047,FALSE,0
159,02af1e0f-8d3a-11ec-b919-f4d1080d95a2,ILVUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,608.9,612.4,0.574807029,TRUE,612.4,607.8,20.442,28.5686096,-0.041732231,-0.08211529,20.442,-271.8110399,-587.1294394,FALSE,0
173,7e1465d9-8d3a-11ec-9b92-f4d1080d95a2,RGTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:15,0.010416667,19.29,19.48,0.984966304,TRUE,19.48,19.25,38,46.79197984,-0.041732231,-0.518403318,38,-271.8110399,-23.78947368,FALSE,0
148,f25a6ff4-8d39-11ec-bc1c-f4d1080d95a2,BNTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:30,0.0625,2.48,2.494,0.564516129,TRUE,2.494,2.47,84.4,27.94475416,-0.041732231,-0.080645161,84.4,-271.8110399,-3730.450237,FALSE,0
167,17040e93-8d3a-11ec-a531-f4d1080d95a2,TORNUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 5:00,0.125,22.7,22.82,0.528634361,TRUE,22.82,22.58,107.02,21.04664545,-0.041732231,0.044052863,107.02,-271.8110399,-509.8860026,FALSE,0
137,ee981917-8d39-11ec-871a-f4d1080d95a2,KSMUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 4:00,0.083333333,160.2,161.1,0.561797753,TRUE,161.1,159.1,125.419,26.58551391,-0.041732231,0,125.419,-271.8110399,-347.555793,FALSE,0
105,d65acaf3-8d39-11ec-861c-f4d1080d95a2,BTCUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 3:15,0.052083333,41670.43,41920.37,0.599801826,TRUE,41920.37,41602.85,337.2405,31.05520882,-0.041732231,-0.041732231,337.2405,-271.8110399,-271.8110399,FALSE,0
140,ef9f4b3a-8d39-11ec-b2c3-f4d1080d95a2,AAVEUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,154.3,155.1,0.518470512,TRUE,155.1,153.9,347.507,27.08675722,-0.041732231,-0.129617628,347.507,-271.8110399,-567.3871318,FALSE,0
164,0c03f8ca-8d3a-11ec-a1f7-f4d1080d95a2,AUCTIONUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,14.97,15.11,0.935203741,TRUE,15.11,14.95,433.64,37.23938281,-0.041732231,0.668002672,433.64,-271.8110399,-7.649202103,FALSE,0
171,4435002c-8d3a-11ec-bdfc-f4d1080d95a2,ACMUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 4:45,0.114583333,4.758,4.614,-3.026481715,TRUE,4.778,4.614,497.3,61.47845626,-0.041732231,0.231189575,497.3,-271.8110399,-903.498894,FALSE,0
161,087f7cfe-8d3a-11ec-9db5-f4d1080d95a2,DASHUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:00,0,99.4,99.9,0.503018109,TRUE,99.9,99.4,1077.224,30.835683,-0.041732231,-0.201207243,1077.224,-271.8110399,-207.2189257,FALSE,0
158,025b91f3-8d3a-11ec-846e-f4d1080d95a2,PNTUSDT,rsi,15m,500,2/14/2022 2:00,2/14/2022 2:30,0.020833333,0.6391,0.6425,0.531998122,TRUE,0.6425,0.6373,1508,30.88344875,-0.041732231,0.093882022,1508,-271.8110399,-2100.464191,FALSE,0
