Date,Open,High,Low,Close,Volume,Quote_Volume,48-zscore,200-zscore,484-zscore,rsi_14
2021-11-20 14:05:00,1.16450000,1.16680000,1.16450000,1.1668,1058.00000000,1232.67040000,,,,
2021-11-20 14:10:00,1.16540000,1.16760000,1.16430000,1.1651,954.00000000,1112.84970000,,,,
2021-11-20 14:15:00,1.16570000,1.16850000,1.16550000,1.1671,5190.00000000,6054.65810000,,,,
2021-11-20 14:20:00,1.16710000,1.16940000,1.16620000,1.1662,4690.00000000,5476.41170000,,,,
2021-11-20 14:25:00,1.16620000,1.16620000,1.16220000,1.1622,1023.00000000,1190.99050000,,,,21.770234770726645
2021-11-20 14:30:00,1.16220000,1.16550000,1.16110000,1.1643,4236.00000000,4930.54520000,,,,39.144495322550775
2021-11-20 14:35:00,1.16540000,1.16600000,1.16200000,1.1647,4890.00000000,5691.46470000,,,,41.79611747527888
2021-11-20 14:40:00,1.16480000,1.16670000,1.16470000,1.1661,1571.00000000,1830.62900000,,,,50.00673787470515
2021-11-20 14:45:00,1.16510000,1.16590000,1.16470000,1.1659,836.00000000,973.84990000,,,,48.94451729446926
2021-11-20 14:50:00,1.16630000,1.16700000,1.16400000,1.1643,25181.00000000,29327.84580000,,,,41.37307439917538
2021-11-20 14:55:00,1.16610000,1.17080000,1.16460000,1.1646,9935.00000000,11597.54420000,,,,43.14889649670618
2021-11-20 15:00:00,1.16500000,1.16850000,1.15540000,1.1588,11756.00000000,13676.65270000,,,,26.461037395773133
2021-11-20 15:05:00,1.15780000,1.15780000,1.13990000,1.1501,17761.00000000,20386.25080000,,,,16.286212118877913
2021-11-20 15:10:00,1.14590000,1.14830000,1.14360000,1.1473,1770.00000000,2028.08790000,,,,14.370946828093707
2021-11-20 15:15:00,1.14680000,1.14790000,1.14570000,1.1461,1423.00000000,1631.61190000,,,,13.631090568085938
2021-11-20 15:20:00,1.14560000,1.15820000,1.14560000,1.1545,19630.00000000,22625.27320000,,,,37.779085801547076
2021-11-20 15:25:00,1.15540000,1.15540000,1.14770000,1.1485,13195.00000000,15178.03770000,,,,31.092100658136204
2021-11-20 15:30:00,1.14850000,1.14880000,1.14690000,1.1487,3857.00000000,4428.04760000,,,,31.527172129745736
2021-11-20 15:35:00,1.14730000,1.15000000,1.14730000,1.1477,4660.00000000,5354.16110000,,,,30.490570622477847
2021-11-20 15:40:00,1.14690000,1.14700000,1.14060000,1.145,7277.00000000,8322.39290000,,,,27.829923502279172
2021-11-20 15:45:00,1.14000000,1.14180000,1.13900000,1.1407,1782.00000000,2032.36650000,,,,24.207051467353708
2021-11-20 15:50:00,1.13980000,1.14410000,1.13870000,1.1419,3518.00000000,4012.01880000,,,,27.060697244260382
2021-11-20 15:55:00,1.14190000,1.14190000,1.13610000,1.1364,3543.00000000,4038.72550000,,,,22.81987022901147
2021-11-20 16:00:00,1.13830000,1.14190000,1.13690000,1.1418,2885.00000000,3286.12200000,,,,33.790848422688654
2021-11-20 16:05:00,1.14190000,1.14190000,1.14000000,1.1411,13175.00000000,15028.96230000,,,,33.13335082571943
2021-11-20 16:10:00,1.13920000,1.14330000,1.13920000,1.1405,6687.00000000,7628.77650000,,,,32.54873960946354
2021-11-20 16:15:00,1.14010000,1.14140000,1.13700000,1.137,1955.00000000,2226.56700000,,,,29.300969690850962
2021-11-20 16:20:00,1.13950000,1.13960000,1.13570000,1.1381,4107.00000000,4670.01340000,,,,31.610634604588043
2021-11-20 16:25:00,1.13870000,1.14230000,1.13870000,1.1397,625.00000000,712.09130000,,,,34.9400007175268
2021-11-20 16:30:00,1.14060000,1.14570000,1.14060000,1.1446,5976.00000000,6840.48610000,,,,43.940792509748434
2021-11-20 16:35:00,1.14320000,1.14330000,1.14280000,1.1428,113.00000000,129.16680000,,,,41.66069071711491
2021-11-20 16:40:00,1.14260000,1.14540000,1.14240000,1.143,1157.00000000,1322.81090000,,,,42.02068994346838
2021-11-20 16:45:00,1.14410000,1.14440000,1.14270000,1.1427,2456.00000000,2809.01460000,,,,41.60595396594107
2021-11-20 16:50:00,1.14420000,1.14420000,1.14120000,1.1423,630.00000000,719.63330000,,,,41.02455291942564
2021-11-20 16:55:00,1.14230000,1.14290000,1.14160000,1.1416,476.00000000,543.87770000,,,,39.97187012504926
2021-11-20 17:00:00,1.14160000,1.14440000,1.14120000,1.1412,5707.00000000,6521.98270000,,,,39.35049973439039
2021-11-20 17:05:00,1.14120000,1.14120000,1.13950000,1.1399,1966.00000000,2241.72330000,,,,37.31998745438441
2021-11-20 17:10:00,1.14190000,1.14190000,1.13920000,1.1392,321.00000000,365.77550000,,,,36.235731605560176
2021-11-20 17:15:00,1.13830000,1.13870000,1.13830000,1.1387,125.00000000,142.29430000,,,,35.44362244853794
2021-11-20 17:20:00,1.13930000,1.14110000,1.13650000,1.1365,291.00000000,331.23930000,,,,32.11688327041065
2021-11-20 17:25:00,1.13810000,1.14000000,1.13650000,1.1395,4665.00000000,5316.93960000,,,,40.34017809320733
2021-11-20 17:30:00,1.13850000,1.14020000,1.13850000,1.1402,322.00000000,366.85540000,,,,42.102579263350826
2021-11-20 17:35:00,1.13830000,1.13830000,1.13830000,1.1383,107.00000000,121.79810000,,,,38.75599364609911
2021-11-20 17:40:00,1.13860000,1.14070000,1.13830000,1.1407,532.00000000,606.09820000,,,,44.73197840065632
2021-11-20 17:45:00,1.14260000,1.14590000,1.14220000,1.1422,2919.00000000,3337.35280000,,,,48.13809163828755
2021-11-20 17:50:00,1.14330000,1.14460000,1.14330000,1.1446,730.00000000,834.99300000,,,,53.116700397566504
2021-11-20 17:55:00,1.14380000,1.14860000,1.14380000,1.1461,3875.00000000,4444.19050000,,,,55.962146406121164
