Date,Open,High,Low,Close,Volume,Quote_Volume,48-zscore,200-zscore,484-zscore,rsi_14
2021-11-20 15:45:00,8.54500000,8.56700000,8.52100000,8.542,13117.30000000,112089.03900000,,,,
2021-11-20 16:00:00,8.53700000,8.57600000,8.52600000,8.55,7806.10000000,66798.84220000,,,,
2021-11-20 16:15:00,8.54600000,8.57600000,8.48400000,8.536,13079.80000000,111529.06430000,,,,
2021-11-20 16:30:00,8.53900000,8.60500000,8.53900000,8.599,10704.00000000,91853.74680000,,,,
2021-11-20 16:45:00,8.59700000,8.60700000,8.57700000,8.598,6469.40000000,55586.86430000,,,,91.89343121123937
2021-11-20 17:00:00,8.59000000,8.60900000,8.57000000,8.596,9016.90000000,77458.06880000,,,,90.68213479367822
2021-11-20 17:15:00,8.59600000,8.60200000,8.54300000,8.573,7102.60000000,60883.84450000,,,,77.95596179662442
2021-11-20 17:30:00,8.56800000,8.58400000,8.55000000,8.578,7639.90000000,65431.16920000,,,,78.65718243678658
2021-11-20 17:45:00,8.57900000,8.60800000,8.57100000,8.604,4999.90000000,42949.97660000,,,,81.88424888717503
2021-11-20 18:00:00,8.60300000,8.61100000,8.56800000,8.601,8202.40000000,70484.92130000,,,,80.37415084683661
2021-11-20 18:15:00,8.60000000,8.78600000,8.59700000,8.778,28543.30000000,248184.81800000,,,,90.96319074658692
2021-11-20 18:30:00,8.77900000,8.83700000,8.74000000,8.815,16479.70000000,144807.87130000,,,,91.94194064779532
2021-11-20 18:45:00,8.81700000,8.88700000,8.81400000,8.865,14258.60000000,126366.97510000,,,,93.03911148962308
2021-11-20 19:00:00,8.86600000,8.88400000,8.74700000,8.814,27534.00000000,242497.81020000,,,,80.93422156414209
2021-11-20 19:15:00,8.81400000,8.81900000,8.76700000,8.789,5090.60000000,44739.55290000,,,,75.73266813352753
2021-11-20 19:30:00,8.79100000,8.81000000,8.77500000,8.81,4475.30000000,39331.88320000,,,,77.0660185366264
2021-11-20 19:45:00,8.80700000,8.81400000,8.78700000,8.807,5179.40000000,45583.96050000,,,,76.42004282758138
2021-11-20 20:00:00,8.80800000,8.82000000,8.77800000,8.781,4608.60000000,40560.69100000,,,,70.87525803924693
2021-11-20 20:15:00,8.78200000,8.79800000,8.75900000,8.773,16826.20000000,147677.07780000,,,,69.2112499519413
2021-11-20 20:30:00,8.77200000,8.79000000,8.76600000,8.785,4478.50000000,39307.28510000,,,,70.33627554032884
2021-11-20 20:45:00,8.78500000,8.79400000,8.77100000,8.781,4061.90000000,35689.28990000,,,,69.42562123367199
2021-11-20 21:00:00,8.78100000,8.81000000,8.77900000,8.809,4739.80000000,41691.31710000,,,,72.14437461628087
2021-11-20 21:15:00,8.80500000,8.81800000,8.79600000,8.803,5239.90000000,46139.54690000,,,,70.69369745919603
2021-11-20 21:30:00,8.80900000,8.83700000,8.80700000,8.823,3915.00000000,34547.70340000,,,,72.66668369384342
2021-11-20 21:45:00,8.82900000,8.84200000,8.81900000,8.839,5331.30000000,47079.12490000,,,,74.16513910500034
2021-11-20 22:00:00,8.83900000,8.84300000,8.81300000,8.813,3071.70000000,27111.36960000,,,,67.67276594843749
2021-11-20 22:15:00,8.81800000,8.84200000,8.80800000,8.842,5528.00000000,48747.86310000,,,,70.7485791546024
2021-11-20 22:30:00,8.84400000,8.85100000,8.82200000,8.845,6983.30000000,61755.70750000,,,,71.05538744486046
2021-11-20 22:45:00,8.84500000,8.85000000,8.83000000,8.843,3034.30000000,26829.84280000,,,,70.52431663006172
2021-11-20 23:00:00,8.84300000,8.85500000,8.83100000,8.847,3072.60000000,27176.79510000,,,,70.99129677687853
2021-11-20 23:15:00,8.84400000,8.85600000,8.82100000,8.821,5189.90000000,45882.53900000,,,,63.90429380860069
2021-11-20 23:30:00,8.83600000,8.85100000,8.82300000,8.844,4029.70000000,35601.38190000,,,,67.03900141219937
2021-11-20 23:45:00,8.84300000,8.86200000,8.82700000,8.842,4300.90000000,38037.89680000,,,,66.49819949333386
2021-11-21 00:00:00,8.84300000,8.85400000,8.81700000,8.842,5373.00000000,47480.77730000,,,,66.49819949333384
2021-11-21 00:15:00,8.84100000,8.84200000,8.77500000,8.789,8444.10000000,74285.96290000,,,,53.28687938478841
2021-11-21 00:30:00,8.79000000,8.80000000,8.75300000,8.8,7285.80000000,63971.74110000,,,,55.273008662250014
2021-11-21 00:45:00,8.80100000,8.81800000,8.77900000,8.802,8901.00000000,78327.55750000,,,,55.64229200982431
2021-11-21 01:00:00,8.79900000,8.82300000,8.78200000,8.783,3948.50000000,34746.28650000,,,,51.30831981713541
2021-11-21 01:15:00,8.78300000,8.79200000,8.75000000,8.751,18351.80000000,160875.17940000,,,,44.9570575213835
2021-11-21 01:30:00,8.75500000,8.77000000,8.74900000,8.757,4330.10000000,37929.49600000,,,,46.299321646178974
2021-11-21 01:45:00,8.75700000,8.76300000,8.73300000,8.752,4917.60000000,43019.41220000,,,,45.30777642316043
2021-11-21 02:00:00,8.75400000,8.75700000,8.72300000,8.728,4389.20000000,38368.19340000,,,,40.79194021196721
2021-11-21 02:15:00,8.72300000,8.73500000,8.70900000,8.713,5559.10000000,48487.37100000,,,,38.227425558438384
2021-11-21 02:30:00,8.71300000,8.71900000,8.64900000,8.658,7610.80000000,66063.69160000,,,,30.624847735655933
2021-11-21 02:45:00,8.66200000,8.68200000,8.63900000,8.68,9537.70000000,82642.36260000,,,,36.09924705938715
2021-11-21 03:00:00,8.67800000,8.69700000,8.65000000,8.692,8832.50000000,76596.60020000,,,,38.93001074853268
2021-11-21 03:15:00,8.69200000,8.69500000,8.65300000,8.676,4868.60000000,42237.16440000,,,,36.60179387899259
2021-11-21 03:30:00,8.67800000,8.68900000,8.64300000,8.644,4895.00000000,42413.08010000,,,,32.425080699436464
2021-11-21 03:45:00,8.64700000,8.65100000,8.60600000,8.624,5480.70000000,47273.04870000,,,,30.11226806875807
2021-11-21 04:00:00,8.62400000,8.66100000,8.60100000,8.652,13242.20000000,114355.95190000,,,,36.898261407986325
2021-11-21 04:15:00,8.65100000,8.67100000,8.64400000,8.644,3626.40000000,31403.96950000,,,,35.82785205854859
2021-11-21 04:30:00,8.64800000,8.65800000,8.61200000,8.632,3807.50000000,32866.01890000,,,,34.22404799630125
2021-11-21 04:45:00,8.63200000,8.64200000,8.61800000,8.628,5106.70000000,44068.20390000,,,,33.682792823930114
2021-11-21 05:00:00,8.62500000,8.65300000,8.62200000,8.648,7966.90000000,68823.53400000,,,,38.887048558658144
2021-11-21 05:15:00,8.64800000,8.69500000,8.64600000,8.693,6009.80000000,52065.72740000,,,,48.651113001005456
2021-11-21 05:30:00,8.69300000,8.73000000,8.66500000,8.671,11084.50000000,96257.26120000,,,,44.876189120900875
