,3461
Date,2021-11-11 18:00:00
Open,1.1653
High,1.1667
Low,1.1513
Close,1.152
Volume,151915.0
Quote_Volume,175884.3689
sumpv,175699.97999999998
sumv,151902.0
vwap,1.27
index,3462.0
mean,1.2217545599845954
psum,4229.714286666669
dev,0.5086439048327634
v1,895.4251504773074
varince,0.25871862192352135
sd1_pos,1.5243219524163818
sd1_neg,1.0156780475836182
sd2_pos,1.7786439048327636
sd2_neg,0.7613560951672366
sd3_pos,2.0329658572491454
sd3_neg,0.5070341427508549
sd4_pos,2.2872878096655267
sd4_neg,0.2527121903344731
sd5_pos,2.541609762081909
sd5_neg,-0.001609762081908661
sd6_pos,2.7959317144982903
sd6_neg,-0.2559317144982902
sd7_pos,3.050253666914672
sd7_neg,-0.510253666914672
sd8_pos,3.304575619331054
sd8_neg,-0.7645756193310538
hlc3,1.1566666666666665
