,1690
Date,2021-11-04 16:00:00
Open,0.12211
High,0.12318
Low,0.12083
Close,0.12139
Volume,14881469.0
Quote_Volume,1811647.03531
sumpv,1809176.7473853335
sumv,14848385.2
vwap,0.09
index,1691.0
mean,0.0918998628030748
psum,155.4026679999995
dev,0.04148963786989983
v1,2.90914918547247
varince,0.001721390050575426
sd1_pos,0.11074481893494992
sd1_neg,0.06925518106505008
sd2_pos,0.1314896378698998
sd2_neg,0.04851036213010017
sd3_pos,0.15223445680484973
sd3_neg,0.027765543195150254
sd4_pos,0.17297927573979965
sd4_neg,0.0070207242602003395
sd5_pos,0.19372409467474958
sd5_neg,-0.013724094674749582
sd6_pos,0.2144689136096995
sd6_neg,-0.03446891360969949
sd7_pos,0.2352137325446494
sd7_neg,-0.055213732544649397
sd8_pos,0.25595855147959934
sd8_neg,-0.07595855147959932
hlc3,0.12184333333333335
