,2173
Date,2021-11-11 18:00:00
Open,67.46
High,67.55
Low,66.6
Close,66.91
Volume,11836.77
Quote_Volume,793444.8918
sumpv,792302.3975999999
sumv,11821.88
vwap,40.73
index,2174.0
mean,32.07536675866296
psum,69731.84733333327
dev,21.446265029947288
v1,999454.5825555898
varince,459.94228373473993
sd1_pos,51.45313251497364
sd1_neg,30.006867485026355
sd2_pos,62.17626502994729
sd2_neg,19.28373497005271
sd3_pos,72.89939754492093
sd3_neg,8.560602455079064
sd4_pos,83.62253005989457
sd4_neg,-2.1625300598945785
sd5_pos,94.34566257486821
sd5_neg,-12.88566257486822
sd6_pos,105.06879508984187
sd6_neg,-23.60879508984187
sd7_pos,115.7919276048155
sd7_neg,-34.33192760481551
sd8_pos,126.51506011978915
sd8_neg,-45.055060119789154
hlc3,67.02
