,3461
Date,2021-11-11 18:00:00
Open,87.84
High,88.08
Low,86.68
Close,86.94
Volume,41118.57
Quote_Volume,3596673.805
sumpv,3584795.4156000004
sumv,41091.19
vwap,42.4
index,3462.0
mean,33.88555631619485
psum,117311.79596666658
dev,19.90937158019114
v1,1371881.8285214228
varince,396.38307671812277
sd1_pos,52.35468579009557
sd1_neg,32.445314209904424
sd2_pos,62.30937158019114
sd2_neg,22.490628419808857
sd3_pos,72.26405737028671
sd3_neg,12.535942629713286
sd4_pos,82.21874316038227
sd4_neg,2.5812568396177156
sd5_pos,92.17342895047784
sd5_neg,-7.373428950477852
sd6_pos,102.12811474057342
sd6_neg,-17.328114740573426
sd7_pos,112.082800530669
sd7_neg,-27.282800530669
sd8_pos,122.03748632076457
sd8_neg,-37.23748632076457
hlc3,87.24000000000001
