,1690
Date,2021-11-04 16:00:00
Open,149.31
High,150.58
Low,147.54
Close,149.8
Volume,98585.55
Quote_Volume,14708373.7902
sumpv,14718285.603666663
sumv,98573.15
vwap,27.05
index,1691.0
mean,35.08848360930412
psum,59334.62578333327
dev,43.00562280270382
v1,3125627.2715758616
varince,1849.4835926484388
sd1_pos,48.55281140135191
sd1_neg,5.547188598648091
sd2_pos,70.05562280270382
sd2_neg,-15.955622802703818
sd3_pos,91.55843420405573
sd3_neg,-37.458434204055735
sd4_pos,113.06124560540763
sd4_neg,-58.96124560540764
sd5_pos,134.56405700675955
sd5_neg,-80.46405700675955
sd6_pos,156.06686840811147
sd6_neg,-101.96686840811147
sd7_pos,177.56967980946337
sd7_neg,-123.46967980946336
sd8_pos,199.0724912108153
sd8_neg,-144.97249121081526
hlc3,149.3133333333333
