,1484
Date,2021-11-04 16:00:00
Open,38.18
High,38.22
Low,35.06
Close,35.6
Volume,56212.39
Quote_Volume,2024856.0696
sumpv,2037008.7798666665
sumv,56095.34
vwap,25.87
index,1485.0
mean,24.67510662177333
psum,36642.5333333334
dev,12.327455428210591
v1,225517.77748442584
varince,151.96615733451875
sd1_pos,32.0337277141053
sd1_neg,19.706272285894705
sd2_pos,38.19745542821059
sd2_neg,13.54254457178941
sd3_pos,44.36118314231589
sd3_neg,7.378816857684114
sd4_pos,50.52491085642119
sd4_neg,1.215089143578819
sd5_pos,56.68863857052648
sd5_neg,-4.948638570526477
sd6_pos,62.85236628463177
sd6_neg,-11.112366284631772
sd7_pos,69.01609399873708
sd7_neg,-17.27609399873707
sd8_pos,75.17982171284237
sd8_neg,-23.439821712842363
hlc3,36.31333333333333
