,3461
Date,2021-11-11 18:00:00
Open,672.0
High,674.2
Low,669.5
Close,670.4
Volume,1880.272
Quote_Volume,1262501.5078
sumpv,1261975.9797333332
sumv,1879.712
vwap,716.06
index,3462.0
mean,634.065204120931
psum,2195133.736666663
dev,196.15887157818548
v1,133173406.33284049
varince,38478.30289882707
sd1_pos,814.1394357890927
sd1_neg,617.9805642109072
sd2_pos,912.2188715781854
sd2_neg,519.9011284218145
sd3_pos,1010.2983073672782
sd3_neg,421.8216926327217
sd4_pos,1108.3777431563708
sd4_neg,323.742256843629
sd5_pos,1206.4571789454635
sd5_neg,225.66282105453627
sd6_pos,1304.5366147345565
sd6_neg,127.58338526544344
sd7_pos,1402.6160505236492
sd7_neg,29.503949476350726
sd8_pos,1500.6954863127419
sd8_neg,-68.57548631274199
hlc3,671.3666666666667
