,3461
Date,2021-11-11 18:00:00
Open,626.5
High,627.9
Low,623.4
Close,623.8
Volume,16695.938
Quote_Volume,10443942.9105
sumpv,10433820.190733334
sumv,16693.222
vwap,333.17
index,3462.0
mean,373.9450407953014
psum,1294597.7312333335
dev,138.76436453669618
v1,66643454.62271022
varince,19255.548865273107
sd1_pos,402.55218226834813
sd1_neg,263.7878177316519
sd2_pos,471.9343645366962
sd2_neg,194.40563546330384
sd3_pos,541.3165468050443
sd3_neg,125.02345319495575
sd4_pos,610.6987290733923
sd4_neg,55.64127092660766
sd5_pos,680.0809113417404
sd5_neg,-13.7409113417404
sd6_pos,749.4630936100885
sd6_neg,-83.12309361008852
sd7_pos,818.8452758784367
sd7_neg,-152.50527587843663
sd8_pos,888.2274581467848
sd8_neg,-221.8874581467847
hlc3,625.0333333333333
