,3461
Date,2021-11-11 18:00:00
Open,64925.32
High,65018.15
Low,64573.99
Close,64689.3
Volume,787.69155
Quote_Volume,51029840.9520791
sumpv,51006576.7258624
sumv,787.61888
vwap,45890.68
index,3462
mean,47476.78725207011
psum,164364637.46666673
dev,9767.286128368152
v1,330178978842.72217
varince,95399878.31341293
sd1_pos,50774.32306418408
sd1_neg,41007.03693581592
sd2_pos,55657.96612836815
sd2_neg,36123.39387163185
sd3_pos,60541.60919255223
sd3_neg,31239.750807447774
sd4_pos,65425.252256736305
sd4_neg,26356.107743263696
sd5_pos,70308.89532092039
sd5_neg,21472.464679079618
sd6_pos,75192.53838510446
sd6_neg,16588.821614895543
sd7_pos,80076.18144928853
sd7_neg,11705.17855071147
sd8_pos,84959.82451347262
sd8_neg,6821.535486527391
hlc3,64760.48
