,3461
Date,2021-11-11 18:00:00
Open,0.00382
High,0.003826
Low,0.003789
Close,0.0038
Volume,231145836.0
Quote_Volume,879632.380764
sumpv,879467.28998
sumv,231134636.0
vwap,0.0
index,3462.0
mean,0.003730132351242059
psum,12.913718200000009
dev,0.0020167112267291598
v1,0.014076316759345413
varince,4.0671241720154325e-06
sd1_pos,0.0010083556133645799
sd1_neg,-0.0010083556133645799
sd2_pos,0.0020167112267291598
sd2_neg,-0.0020167112267291598
sd3_pos,0.0030250668400937397
sd3_neg,-0.0030250668400937397
sd4_pos,0.0040334224534583196
sd4_neg,-0.0040334224534583196
sd5_pos,0.0050417780668229
sd5_neg,-0.0050417780668229
sd6_pos,0.006050133680187479
sd6_neg,-0.006050133680187479
sd7_pos,0.007058489293552059
sd7_neg,-0.007058489293552059
sd8_pos,0.008066844906916639
sd8_neg,-0.008066844906916639
hlc3,0.003805
