,1551
Date,2021-11-04 16:00:00
Open,18.6
High,18.75
Low,18.51
Close,18.67
Volume,210269.1
Quote_Volume,3912991.2959
sumpv,3919445.236866666
sumv,210195.49
vwap,19.62
index,1552.0
mean,19.24188853092783
psum,29863.410999999993
dev,6.624420347549088
v1,68062.4476035257
varince,43.88294494102237
sd1_pos,22.932210173774546
sd1_neg,16.307789826225456
sd2_pos,26.244420347549088
sd2_neg,12.995579652450914
sd3_pos,29.556630521323633
sd3_neg,9.683369478676369
sd4_pos,32.86884069509818
sd4_neg,6.371159304901825
sd5_pos,36.18105086887272
sd5_neg,3.0589491311272816
sd6_pos,39.49326104264726
sd6_neg,-0.2532610426472637
sd7_pos,42.80547121642181
sd7_neg,-3.5654712164218054
sd8_pos,46.11768139019635
sd8_neg,-6.877681390196351
hlc3,18.646666666666665
