,1690
Date,2021-11-04 16:00:00
Open,0.1129
High,0.11436
Low,0.11178
Close,0.11398
Volume,19509131.9
Quote_Volume,2205485.932006
sumpv,2211853.48545
sumv,19508895.0
vwap,0.07
index,1691.0
mean,0.05896873447664106
psum,99.71613000000004
dev,0.04065480926038329
v1,2.7932548420368684
varince,0.001652813515998147
sd1_pos,0.09032740463019165
sd1_neg,0.049672595369808364
sd2_pos,0.11065480926038329
sd2_neg,0.029345190739616715
sd3_pos,0.13098221389057496
sd3_neg,0.009017786109425066
sd4_pos,0.15130961852076658
sd4_neg,-0.011309618520766576
sd5_pos,0.17163702315095825
sd5_neg,-0.03163702315095822
sd6_pos,0.1919644277811499
sd6_neg,-0.051964427781149874
sd7_pos,0.21229183241134153
sd7_neg,-0.07229183241134152
sd8_pos,0.23261923704153317
sd8_neg,-0.09261923704153316
hlc3,0.11337666666666667
