,2724
Date,2021-11-11 18:00:00
Open,0.3105
High,0.3134
Low,0.3105
Close,0.3115
Volume,281608.0
Quote_Volume,87888.3257
sumpv,87605.19880000001
sumv,280966.0
vwap,0.45
index,2725.0
mean,0.4622380672782874
psum,1259.5987333333333
dev,0.3046665065223615
v1,252.84625685537537
varince,0.09282168019654015
sd1_pos,0.6023332532611807
sd1_neg,0.29766674673881927
sd2_pos,0.7546665065223614
sd2_neg,0.14533349347763852
sd3_pos,0.9069997597835422
sd3_neg,-0.006999759783542225
sd4_pos,1.059333013044723
sd4_neg,-0.15933301304472297
sd5_pos,1.2116662663059037
sd5_neg,-0.3116662663059037
sd6_pos,1.3639995195670844
sd6_neg,-0.46399951956708446
sd7_pos,1.5163327728282652
sd7_neg,-0.6163327728282653
sd8_pos,1.668666026089446
sd8_neg,-0.768666026089446
hlc3,0.3118
