,3461
Date,2021-11-11 18:00:00
Open,0.4943
High,0.4979
Low,0.4886
Close,0.4907
Volume,6964257.0
Quote_Volume,3427295.3402
sumpv,3422525.9112
sumv,6950232.0
vwap,0.33
index,3462.0
mean,0.31829533795493925
psum,1101.9384599999996
dev,0.15181199251401806
v1,79.765255386995
varince,0.02304688107107628
sd1_pos,0.40590599625700907
sd1_neg,0.25409400374299096
sd2_pos,0.4818119925140181
sd2_neg,0.17818800748598196
sd3_pos,0.5577179887710271
sd3_neg,0.10228201122897293
sd4_pos,0.6336239850280361
sd4_neg,0.0263760149719639
sd5_pos,0.7095299812850451
sd5_neg,-0.0495299812850451
sd6_pos,0.7854359775420542
sd6_neg,-0.12543597754205416
sd7_pos,0.8613419737990633
sd7_neg,-0.2013419737990632
sd8_pos,0.9372479700560723
sd8_neg,-0.2772479700560722
hlc3,0.49243333333333333
