,1690
Date,2021-11-04 16:00:00
Open,4.106
High,4.171
Low,4.07
Close,4.159
Volume,798027.9
Quote_Volume,3287344.8906
sumpv,3290869.8732000003
sumv,796049.8
vwap,2.65
index,1691.0
mean,2.500431894342604
psum,4228.230333333343
dev,0.722463793295697
v1,882.1021461332209
varince,0.5219539326232077
sd1_pos,3.0112318966478484
sd1_neg,2.2887681033521514
sd2_pos,3.372463793295697
sd2_neg,1.927536206704303
sd3_pos,3.7336956899435454
sd3_neg,1.5663043100564544
sd4_pos,4.094927586591394
sd4_neg,1.205072413408606
sd5_pos,4.456159483239242
sd5_neg,0.8438405167607574
sd6_pos,4.817391379887091
sd6_neg,0.48260862011290895
sd7_pos,5.178623276534939
sd7_neg,0.12137672346506045
sd8_pos,5.539855173182788
sd8_neg,-0.23985517318278804
hlc3,4.134
