,3461
Date,2021-11-11 18:00:00
Open,228.6
High,229.7
Low,226.8
Close,227.2
Volume,3696.273
Quote_Volume,843018.0172
sumpv,839460.3060999999
sumv,3683.459
vwap,223.05
index,3462.0
mean,206.53547660311955
psum,715025.8199999998
dev,65.65979455102838
v1,14921093.035492547
varince,4311.208620483256
sd1_pos,255.8798972755142
sd1_neg,190.22010272448583
sd2_pos,288.7097945510284
sd2_neg,157.39020544897164
sd3_pos,321.5396918265426
sd3_neg,124.56030817345743
sd4_pos,354.3695891020568
sd4_neg,91.73041089794324
sd5_pos,387.19948637757096
sd5_neg,58.90051362242906
sd6_pos,420.0293836530852
sd6_neg,26.070616346914846
sd7_pos,452.85928092859933
sd7_neg,-6.759280928599338
sd8_pos,485.68917820411355
sd8_neg,-39.58917820411352
hlc3,227.9
