,1690
Date,2021-11-04 16:00:00
Open,52.9
High,53.9
Low,52.47
Close,53.38
Volume,940494.48
Quote_Volume,50104925.6263
sumpv,50080986.5325
sumv,940488.01
vwap,28.42
index,1691.0
mean,29.16831172876008
psum,49323.6151333333
dev,9.600111846688026
v1,155754.02922247443
varince,92.16214746891978
sd1_pos,33.22005592334401
sd1_neg,23.61994407665599
sd2_pos,38.020111846688025
sd2_neg,18.819888153311975
sd3_pos,42.82016777003204
sd3_neg,14.019832229967962
sd4_pos,47.620223693376055
sd4_neg,9.219776306623949
sd5_pos,52.420279616720066
sd5_neg,4.419720383279937
sd6_pos,57.220335540064085
sd6_neg,-0.38033554006407755
sd7_pos,62.020391463408096
sd7_neg,-5.1803914634080925
sd8_pos,66.82044738675211
sd8_neg,-9.980447386752104
hlc3,53.25
