,1690
Date,2021-11-04 16:00:00
Open,319.21
High,320.5
Low,313.43
Close,315.21
Volume,27866.75
Quote_Volume,8839572.2004
sumpv,8813074.229999999
sumv,27859.5
vwap,152.48
index,1691.0
mean,151.99044214468756
psum,257015.8376666667
dev,60.96042240644832
v1,6280332.538953706
varince,3716.173099972607
sd1_pos,182.96021120322416
sd1_neg,121.99978879677583
sd2_pos,213.4404224064483
sd2_neg,91.51957759355167
sd3_pos,243.92063360967248
sd3_neg,61.0393663903275
sd4_pos,274.40084481289665
sd4_neg,30.559155187103343
sd5_pos,304.8810560161208
sd5_neg,0.078943983879185
sd6_pos,335.361267219345
sd6_neg,-30.401267219344987
sd7_pos,365.84147842256914
sd7_neg,-60.88147842256913
sd8_pos,396.3216896257933
sd8_neg,-91.3616896257933
hlc3,316.34
