,3461
Date,2021-11-11 18:00:00
Open,4751.8
High,4759.81
Low,4735.0
Close,4735.18
Volume,5253.2453
Quote_Volume,24946407.874993
sumpv,24908807.256222006
sumv,5251.3334
vwap,2515.3
index,3462.0
mean,2671.991551126517
psum,9250434.750000002
dev,857.9548341554034
v1,2547595367.676616
varince,736086.4974506259
sd1_pos,2944.277417077702
sd1_neg,2086.3225829222984
sd2_pos,3373.254834155404
sd2_neg,1657.3451658445967
sd3_pos,3802.232251233105
sd3_neg,1228.3677487668951
sd4_pos,4231.209668310807
sd4_neg,799.3903316891933
sd5_pos,4660.187085388508
sd5_neg,370.4129146114915
sd6_pos,5089.16450246621
sd6_neg,-58.56450246620989
sd7_pos,5518.141919543912
sd7_neg,-487.5419195439117
sd8_pos,5947.119336621614
sd8_neg,-916.5193366216135
hlc3,4743.330000000001
