,3461
Date,2021-11-11 18:00:00
Open,0.9123
High,0.9124
Low,0.8975
Close,0.902
Volume,518475.0
Quote_Volume,468566.6163
sumpv,468897.9372
sumv,518463.0
vwap,0.51
index,3462.0
mean,0.49929196995956127
psum,1728.5488000000012
dev,0.22805121263874098
v1,179.99745768314688
varince,0.05200735558600025
sd1_pos,0.6240256063193705
sd1_neg,0.39597439368062953
sd2_pos,0.738051212638741
sd2_neg,0.28194878736125906
sd3_pos,0.8520768189581115
sd3_neg,0.16792318104188853
sd4_pos,0.9661024252774819
sd4_neg,0.05389757472251805
sd5_pos,1.0801280315968524
sd5_neg,-0.06012803159685243
sd6_pos,1.194153637916223
sd6_neg,-0.17415363791622296
sd7_pos,1.3081792442355935
sd7_neg,-0.2881792442355934
sd8_pos,1.422204850554964
sd8_neg,-0.4022048505549639
hlc3,0.9044
