,1249
Date,2021-11-11 18:00:00
Open,13.09
High,13.12
Low,13.08
Close,13.09
Volume,13683.49
Quote_Volume,179214.9944
sumpv,178516.60336666665
sumv,13630.69
vwap,17.59
index,1250.0
mean,19.140215999999985
psum,23925.269999999982
dev,4.0302354214591185
v1,20287.25414292731
varince,16.242797552383756
sd1_pos,19.60511771072956
sd1_neg,15.574882289270441
sd2_pos,21.620235421459117
sd2_neg,13.559764578540882
sd3_pos,23.635353132188676
sd3_neg,11.544646867811322
sd4_pos,25.65047084291824
sd4_neg,9.529529157081763
sd5_pos,27.665588553647794
sd5_neg,7.514411446352204
sd6_pos,29.680706264377356
sd6_neg,5.4992937356226435
sd7_pos,31.695823975106915
sd7_neg,3.4841760248930846
sd8_pos,33.710941685836474
sd8_neg,1.4690583141635258
hlc3,13.096666666666666
