,3461
Date,2021-11-11 18:00:00
Open,59.85
High,59.93
Low,59.55
Close,59.55
Volume,4757.46
Quote_Volume,284237.6803
sumpv,283906.712
sumv,4757.15
vwap,53.0
index,3462.0
mean,42.58274263431543
psum,147421.45500000002
dev,15.036227521093778
v1,782491.0458467649
varince,226.08813806609794
sd1_pos,60.51811376054689
sd1_neg,45.48188623945311
sd2_pos,68.03622752109378
sd2_neg,37.96377247890622
sd3_pos,75.55434128164066
sd3_neg,30.445658718359333
sd4_pos,83.07245504218756
sd4_neg,22.927544957812444
sd5_pos,90.59056880273445
sd5_neg,15.409431197265555
sd6_pos,98.10868256328133
sd6_neg,7.891317436718666
sd7_pos,105.62679632382822
sd7_neg,0.3732036761717765
sd8_pos,113.14491008437511
sd8_neg,-7.1449100843751125
hlc3,59.68000000000001
