,1690
Date,2021-11-04 16:00:00
Open,0.01992
High,0.01993
Low,0.01956
Close,0.01961
Volume,32480811.0
Quote_Volume,640379.65539
sumpv,638137.5357333333
sumv,32381810.0
vwap,0.03
index,1691.0
mean,0.02696120658387537
psum,45.59140033333325
dev,0.009298954517518561
v1,0.14613523815090526
varince,8.647055511887885e-05
sd1_pos,0.034649477258759276
sd1_neg,0.02535052274124072
sd2_pos,0.03929895451751856
sd2_neg,0.020701045482481438
sd3_pos,0.043948431776277844
sd3_neg,0.016051568223722158
sd4_pos,0.04859790903503712
sd4_neg,0.011402090964962877
sd5_pos,0.0532473862937964
sd5_neg,0.006752613706203597
sd6_pos,0.05789686355255568
sd6_neg,0.002103136447444316
sd7_pos,0.06254634081131497
sd7_neg,-0.0025463408113149677
sd8_pos,0.06719581807007424
sd8_neg,-0.007195818070074245
hlc3,0.019706666666666667
