,3461
Date,2021-11-11 18:00:00
Open,1.1112
High,1.1122
Low,1.0934
Close,1.0963
Volume,1398453.0
Quote_Volume,1544141.2741
sumpv,1538923.4705666667
sumv,1398301.0
vwap,1.13
index,3462.0
mean,1.0952236115925302
psum,3791.66414333334
dev,0.4973423151577023
v1,856.0761988030708
varince,0.24734937844642324
sd1_pos,1.378671157578851
sd1_neg,0.8813288424211487
sd2_pos,1.6273423151577022
sd2_neg,0.6326576848422976
sd3_pos,1.8760134727365534
sd3_neg,0.3839865272634465
sd4_pos,2.1246846303154046
sd4_neg,0.13531536968459534
sd5_pos,2.3733557878942557
sd5_neg,-0.11335578789425571
sd6_pos,2.622026945473107
sd6_neg,-0.3620269454731069
sd7_pos,2.870698103051958
sd7_neg,-0.610698103051958
sd8_pos,3.119369260630809
sd8_neg,-0.8593692606308092
hlc3,1.1005666666666667
