,1690
Date,2021-11-04 16:00:00
Open,0.882
High,0.887
Low,0.8729
Close,0.8803
Volume,594721.0
Quote_Volume,523619.1351
sumpv,522553.2143
sumv,593743.0
vwap,0.54
index,1691.0
mean,0.4888241868716738
psum,826.6017000000004
dev,0.19884651524864025
v1,66.82249289883184
varince,0.039539936626527716
sd1_pos,0.6394232576243202
sd1_neg,0.4405767423756799
sd2_pos,0.7388465152486403
sd2_neg,0.34115348475135976
sd3_pos,0.8382697728729605
sd3_neg,0.24173022712703968
sd4_pos,0.9376930304972806
sd4_neg,0.14230696950271954
sd5_pos,1.0371162881216007
sd5_neg,0.0428837118783994
sd6_pos,1.1365395457459209
sd6_neg,-0.05653954574592068
sd7_pos,1.2359628033702408
sd7_neg,-0.15596280337024082
sd8_pos,1.3353860609945611
sd8_neg,-0.25538606099456096
hlc3,0.8801
