,3461
Date,2021-11-11 18:00:00
Open,48.79
High,49.15
Low,48.59
Close,48.68
Volume,11475.44
Quote_Volume,560655.1886
sumpv,559903.8720000001
sumv,11473.44
vwap,14.86
index,3462.0
mean,14.89480906990183
psum,51565.829000000136
dev,7.677273497236008
v1,203993.16862406532
varince,58.94052835136242
sd1_pos,18.698636748618004
sd1_neg,11.021363251381995
sd2_pos,22.537273497236008
sd2_neg,7.182726502763991
sd3_pos,26.375910245854012
sd3_neg,3.344089754145987
sd4_pos,30.214546994472016
sd4_neg,-0.49454699447201733
sd5_pos,34.05318374309002
sd5_neg,-4.3331837430900215
sd6_pos,37.891820491708025
sd6_neg,-8.171820491708026
sd7_pos,41.73045724032603
sd7_neg,-12.01045724032603
sd8_pos,45.56909398894403
sd8_neg,-15.849093988944034
hlc3,48.800000000000004
