,1690
Date,2021-11-04 16:00:00
Open,2.12
High,2.136
Low,2.091
Close,2.127
Volume,263737.0
Quote_Volume,559233.5148
sumpv,557678.5765000001
sumv,263262.9
vwap,1.63
index,1691.0
mean,1.5932919771338487
psum,2694.256733333338
dev,0.5943831781921463
v1,597.0624026550764
varince,0.3532913625177967
sd1_pos,1.927191589096073
sd1_neg,1.3328084109039269
sd2_pos,2.224383178192146
sd2_neg,1.0356168218078536
sd3_pos,2.5215747672882194
sd3_neg,0.7384252327117805
sd4_pos,2.8187663563842924
sd4_neg,0.4412336436157074
sd5_pos,3.1159579454803654
sd5_neg,0.14404205451963437
sd6_pos,3.413149534576439
sd6_neg,-0.15314953457643887
sd7_pos,3.710341123672512
sd7_neg,-0.4503411236725121
sd8_pos,4.007532712768585
sd8_neg,-0.7475327127685851
hlc3,2.1183333333333336
