,1690
Date,2021-11-04 16:00:00
Open,10.946
High,10.961
Low,10.795
Close,10.904
Volume,40077.6
Quote_Volume,436177.4053
sumpv,433729.79946666677
sumv,39836.8
vwap,12.09
index,1691.0
mean,11.314658466390684
psum,19133.087466666646
dev,3.4523622353841894
v1,20142.780457278688
varince,11.918805004306916
sd1_pos,13.816181117692095
sd1_neg,10.363818882307905
sd2_pos,15.54236223538419
sd2_neg,8.63763776461581
sd3_pos,17.268543353076282
sd3_neg,6.911456646923716
sd4_pos,18.99472447076838
sd4_neg,5.185275529231621
sd5_pos,20.720905588460475
sd5_neg,3.4590944115395263
sd6_pos,22.447086706152568
sd6_neg,1.7329132938474316
sd7_pos,24.17326782384466
sd7_neg,0.006732176155336944
sd8_pos,25.899448941536757
sd8_neg,-1.7194489415367578
hlc3,10.887666666666668
