,1690
Date,2021-11-04 16:00:00
Open,5.843
High,5.849
Low,5.739
Close,5.833
Volume,213243.4
Quote_Volume,1236335.1304
sumpv,1236636.5093333335
sumv,212968.4
vwap,5.15
index,1691.0
mean,5.218039562389119
psum,8823.7049
dev,1.3695250210830525
v1,3169.761943899585
varince,1.8755987833725354
sd1_pos,5.834762510541527
sd1_neg,4.465237489458474
sd2_pos,6.519525021083053
sd2_neg,3.780474978916948
sd3_pos,7.204287531624579
sd3_neg,3.095712468375422
sd4_pos,7.889050042166105
sd4_neg,2.4109499578338953
sd5_pos,8.573812552707633
sd5_neg,1.7261874472923688
sd6_pos,9.258575063249157
sd6_neg,1.0414249367508432
sd7_pos,9.943337573790684
sd7_neg,0.35666242620931676
sd8_pos,10.62810008433221
sd8_neg,-0.3281000843322097
hlc3,5.8066666666666675
