,800
Date,2021-11-04 16:00:00
Open,1.633
High,1.654
Low,1.624
Close,1.644
Volume,441631.6
Quote_Volume,724680.4018
sumpv,724815.0978666666
sumv,441601.4
vwap,1.57
index,801.0
mean,1.328719059508947
psum,1064.3039666666666
dev,0.31512105064544654
v1,79.44102124791208
varince,0.0993012765598901
sd1_pos,1.7275605253227233
sd1_neg,1.4124394746772768
sd2_pos,1.8851210506454465
sd2_neg,1.2548789493545536
sd3_pos,2.04268157596817
sd3_neg,1.09731842403183
sd4_pos,2.2002421012908933
sd4_neg,0.939757898709107
sd5_pos,2.3578026266136165
sd5_neg,0.7821973733863837
sd6_pos,2.5153631519363397
sd6_neg,0.6246368480636604
sd7_pos,2.672923677259063
sd7_neg,0.46707632274093713
sd8_pos,2.8304842025817862
sd8_neg,0.3095157974182139
hlc3,1.641333333333333
