,3461
Date,2021-11-11 18:00:00
Open,35.27
High,35.38
Low,34.84
Close,34.92
Volume,184824.44
Quote_Volume,6490630.0075
sumpv,6477951.515000001
sumv,184820.3
vwap,28.24
index,3462.0
mean,27.860745368765645
psum,96453.90046666666
dev,6.859511728317255
v1,162850.09088334095
varince,47.052901150921976
sd1_pos,31.669755864158624
sd1_neg,24.810244135841373
sd2_pos,35.09951172831725
sd2_neg,21.380488271682744
sd3_pos,38.52926759247588
sd3_neg,17.950732407524114
sd4_pos,41.95902345663451
sd4_neg,14.520976543365489
sd5_pos,45.388779320793134
sd5_neg,11.09122067920686
sd6_pos,48.81853518495176
sd6_neg,7.661464815048234
sd7_pos,52.24829104911039
sd7_neg,4.231708950889608
sd8_pos,55.678046913269014
sd8_neg,0.801953086730979
hlc3,35.050000000000004
