,1690
Date,2021-11-04 16:00:00
Open,46.52
High,47.99
Low,46.03
Close,47.96
Volume,378861.39
Quote_Volume,17817624.0809
sumpv,17858641.964166667
sumv,377428.15
vwap,13.67
index,1691.0
mean,17.932520185294692
psum,30323.891633333325
dev,12.971202230418077
v1,284346.0275410609
varince,168.25208730240288
sd1_pos,20.155601115209038
sd1_neg,7.184398884790961
sd2_pos,26.641202230418077
sd2_neg,0.6987977695819225
sd3_pos,33.12680334562712
sd3_neg,-5.786803345627115
sd4_pos,39.61240446083615
sd4_neg,-12.272404460836155
sd5_pos,46.098005576045196
sd5_neg,-18.758005576045193
sd6_pos,52.58360669125423
sd6_neg,-25.24360669125423
sd7_pos,59.069207806463275
sd7_neg,-31.729207806463272
sd8_pos,65.5548089216723
sd8_neg,-38.21480892167231
hlc3,47.31666666666666
