,986
Date,2021-11-04 16:00:00
Open,1.032
High,1.052
Low,1.03
Close,1.036
Volume,453594.4
Quote_Volume,471906.4947
sumpv,471573.67013333325
sumv,453581.6
vwap,1.51
index,987.0
mean,1.508552178318134
psum,1488.9409999999982
dev,0.3412328788439228
v1,114.80971931765374
varince,0.1164398776041113
sd1_pos,1.6806164394219614
sd1_neg,1.3393835605780386
sd2_pos,1.8512328788439227
sd2_neg,1.1687671211560773
sd3_pos,2.0218493182658843
sd3_neg,0.9981506817341158
sd4_pos,2.1924657576878457
sd4_neg,0.8275342423121544
sd5_pos,2.363082197109807
sd5_neg,0.6569178028901931
sd6_pos,2.5336986365317684
sd6_neg,0.4863013634682316
sd7_pos,2.7043150759537298
sd7_neg,0.31568492404627024
sd8_pos,2.874931515375691
sd8_neg,0.14506848462430888
hlc3,1.0396666666666665
