,519
Date,2021-11-04 16:00:00
Open,4.338
High,4.351
Low,4.216
Close,4.27
Volume,619104.3
Quote_Volume,2653879.0196
sumpv,2646437.0985000003
sumv,618567.3
vwap,4.35
index,520.0
mean,4.165750641025639
psum,2166.190333333332
dev,0.7842066557357916
v1,319.17466094926317
varince,0.6149800789003144
sd1_pos,4.742103327867896
sd1_neg,3.9578966721321036
sd2_pos,5.134206655735792
sd2_neg,3.565793344264208
sd3_pos,5.526309983603687
sd3_neg,3.1736900163963124
sd4_pos,5.918413311471583
sd4_neg,2.7815866885284164
sd5_pos,6.310516639339479
sd5_neg,2.3894833606605204
sd6_pos,6.702619967207374
sd6_neg,1.9973800327926248
sd7_pos,7.09472329507527
sd7_neg,1.6052767049247292
sd8_pos,7.486826622943166
sd8_neg,1.2131733770568331
hlc3,4.278333333333333
