,3461
Date,2021-11-11 18:00:00
Open,3015.0
High,3022.0
Low,2995.0
Close,2996.0
Volume,41.4781
Quote_Volume,124755.4754
sumpv,124565.06779999999
sumv,41.4618
vwap,3172.02
index,3462.0
mean,2899.606747544765
psum,10038438.559999976
dev,829.5655481475159
v1,2381787514.4082513
varince,688178.9986732884
sd1_pos,3586.802774073758
sd1_neg,2757.237225926242
sd2_pos,4001.585548147516
sd2_neg,2342.454451852484
sd3_pos,4416.368322221274
sd3_neg,1927.6716777787262
sd4_pos,4831.1510962950315
sd4_neg,1512.8889037049682
sd5_pos,5245.93387036879
sd5_neg,1098.1061296312105
sd6_pos,5660.7166444425475
sd6_neg,683.3233555574525
sd7_pos,6075.499418516305
sd7_neg,268.5405814836945
sd8_pos,6490.2821925900635
sd8_neg,-146.2421925900635
hlc3,3004.3333333333335
