,3461
Date,2021-11-11 18:00:00
Open,3.249
High,3.264
Low,3.246
Close,3.247
Volume,38101.6
Quote_Volume,123856.5482
sumpv,123558.39813333335
sumv,37986.8
vwap,3.24
index,3462.0
mean,2.583753523974576
psum,8944.954699999982
dev,1.2415934110934852
v1,5335.319080907287
varince,1.5415541984707561
sd1_pos,3.860796705546743
sd1_neg,2.6192032944532575
sd2_pos,4.481593411093486
sd2_neg,1.998406588906515
sd3_pos,5.102390116640228
sd3_neg,1.3776098833597725
sd4_pos,5.723186822186971
sd4_neg,0.7568131778130298
sd5_pos,6.343983527733713
sd5_neg,0.1360164722662871
sd6_pos,6.964780233280456
sd6_neg,-0.48478023328045516
sd7_pos,7.585576938827199
sd7_neg,-1.1055769388271983
sd8_pos,8.20637364437394
sd8_neg,-1.7263736443739406
hlc3,3.252666666666667
