,1690
Date,2021-11-04 16:00:00
Open,10.415
High,10.524
Low,10.284
Close,10.46
Volume,373364.3
Quote_Volume,3895227.7911
sumpv,3881010.3829999994
sumv,372338.7
vwap,5.71
index,1691.0
mean,4.993356376897301
psum,8443.765633333336
dev,2.419623095888612
v1,9894.233315206326
varince,5.854575926157589
sd1_pos,6.919811547944306
sd1_neg,4.500188452055694
sd2_pos,8.129623095888611
sd2_neg,3.290376904111388
sd3_pos,9.339434643832917
sd3_neg,2.0805653561670825
sd4_pos,10.549246191777224
sd4_neg,0.8707538082227764
sd5_pos,11.75905773972153
sd5_neg,-0.33905773972152975
sd6_pos,12.968869287665836
sd6_neg,-1.548869287665835
sd7_pos,14.178680835610141
sd7_neg,-2.758680835610142
sd8_pos,15.388492383554446
sd8_neg,-3.9684923835544472
hlc3,10.423333333333332
