,1690
Date,2021-11-04 16:00:00
Open,0.489
High,0.4941
Low,0.4818
Close,0.4901
Volume,1173738.0
Quote_Volume,573877.8998
sumpv,559816.7317333333
sumv,1143728.0
vwap,0.44
index,1691.0
mean,0.3354753341218216
psum,567.2887900000004
dev,0.21001220634375586
v1,74.53766431459918
varince,0.044105126813372295
sd1_pos,0.5450061031718779
sd1_neg,0.3349938968281221
sd2_pos,0.6500122063437559
sd2_neg,0.22998779365624414
sd3_pos,0.7550183095156338
sd3_neg,0.12498169048436619
sd4_pos,0.8600244126875117
sd4_neg,0.019975587312488274
sd5_pos,0.9650305158593897
sd5_neg,-0.08503051585938964
sd6_pos,1.0700366190312676
sd6_neg,-0.19003661903126762
sd7_pos,1.1750427222031454
sd7_neg,-0.2950427222031455
sd8_pos,1.2800488253750235
sd8_neg,-0.40004882537502345
hlc3,0.48946666666666666
