,1690
Date,2021-11-04 16:00:00
Open,43.72
High,43.8
Low,43.49
Close,43.7
Volume,978.95
Quote_Volume,42714.04
sumpv,41681.87320000001
sumv,955.13
vwap,49.43
index,1691.0
mean,45.12675537157498
psum,76309.3433333333
dev,11.94290618647218
v1,241049.7838222996
varince,142.63300817887549
sd1_pos,55.40145309323609
sd1_neg,43.45854690676391
sd2_pos,61.37290618647218
sd2_neg,37.48709381352782
sd3_pos,67.34435927970827
sd3_neg,31.515640720291728
sd4_pos,73.31581237294436
sd4_neg,25.54418762705564
sd5_pos,79.28726546618046
sd5_neg,19.57273453381955
sd6_pos,85.25871855941654
sd6_neg,13.601281440583456
sd7_pos,91.23017165265263
sd7_neg,7.62982834734737
sd8_pos,97.20162474588872
sd8_neg,1.6583752541112773
hlc3,43.64000000000001
