,1690
Date,2021-11-04 16:00:00
Open,0.28556
High,0.28598
Low,0.27659
Close,0.28193
Volume,30288621.5
Quote_Volume,8514038.396328
sumpv,8520671.460312333
sumv,30272758.3
vwap,0.12
index,1691.0
mean,0.11533083973979878
psum,195.02444999999975
dev,0.07035226169313218
v1,8.364554825822829
varince,0.004949440725338952
sd1_pos,0.1551761308465661
sd1_neg,0.0848238691534339
sd2_pos,0.19035226169313219
sd2_neg,0.04964773830686782
sd3_pos,0.22552839253969825
sd3_neg,0.014471607460301739
sd4_pos,0.2607045233862644
sd4_neg,-0.020704523386264356
sd5_pos,0.29588065423283044
sd5_neg,-0.05588065423283045
sd6_pos,0.3310567850793965
sd6_neg,-0.09105678507939652
sd7_pos,0.36623291592596263
sd7_neg,-0.1262329159259626
sd8_pos,0.4014090467725287
sd8_neg,-0.1614090467725287
hlc3,0.28146333333333334
