,3461
Date,2021-11-11 18:00:00
Open,1.1805
High,1.1825
Low,1.1694
Close,1.171
Volume,43438.0
Quote_Volume,50989.9055
sumpv,51006.185999999994
sumv,43428.0
vwap,0.97
index,3462.0
mean,0.8879925476603107
psum,3074.2301999999954
dev,0.2887396631970968
v1,288.5456227300815
varince,0.08337059310317292
sd1_pos,1.1143698315985484
sd1_neg,0.8256301684014515
sd2_pos,1.2587396631970968
sd2_neg,0.6812603368029031
sd3_pos,1.403109494795645
sd3_neg,0.5368905052043548
sd4_pos,1.5474793263941935
sd4_neg,0.39252067360580634
sd5_pos,1.691849157992742
sd5_neg,0.2481508420072579
sd6_pos,1.8362189895912904
sd6_neg,0.10378101040870957
sd7_pos,1.9805888211898388
sd7_neg,-0.040588821189838864
sd8_pos,2.1249586527883872
sd8_neg,-0.1849586527883873
hlc3,1.1744999999999999
