,1690
Date,2021-11-04 16:00:00
Open,0.4805
High,0.5093
Low,0.4767
Close,0.5051
Volume,4547201.0
Quote_Volume,2226427.5404
sumpv,2249127.7504000003
sumv,4524801.0
vwap,0.49
index,1691.0
mean,0.4531557658190417
psum,766.2863999999995
dev,0.15723646673699238
v1,41.78238793756729
varince,0.02472330647193331
sd1_pos,0.5686182333684962
sd1_neg,0.41138176663150383
sd2_pos,0.6472364667369923
sd2_neg,0.3327635332630076
sd3_pos,0.7258547001054886
sd3_neg,0.2541452998945114
sd4_pos,0.8044729334739847
sd4_neg,0.17552706652601524
sd5_pos,0.8830911668424809
sd5_neg,0.09690883315751908
sd6_pos,0.9617094002109772
sd6_neg,0.018290599789022866
sd7_pos,1.0403276335794733
sd7_neg,-0.06032763357947335
sd8_pos,1.1189458669479695
sd8_neg,-0.1389458669479695
hlc3,0.4970666666666667
