,2845
Date,2021-11-11 18:00:00
Open,16.79
High,16.8
Low,16.7
Close,16.76
Volume,2139.14
Quote_Volume,35849.8596
sumpv,35786.6278
sumv,2136.09
vwap,11.66
index,2846.0
mean,11.709801475755464
psum,33326.09500000005
dev,4.452454715691456
v1,56400.28427158036
varince,19.824352995283082
sd1_pos,13.886227357845728
sd1_neg,9.433772642154272
sd2_pos,16.112454715691456
sd2_neg,7.207545284308544
sd3_pos,18.338682073537186
sd3_neg,4.9813179264628165
sd4_pos,20.56490943138291
sd4_neg,2.7550905686170886
sd5_pos,22.791136789228638
sd5_neg,0.5288632107713607
sd6_pos,25.017364147074368
sd6_neg,-1.6973641470743672
sd7_pos,27.243591504920097
sd7_neg,-3.923591504920095
sd8_pos,29.469818862765823
sd8_neg,-6.149818862765823
hlc3,16.753333333333334
