,794
Date,2021-11-04 16:00:00
Open,0.8104
High,0.8197
Low,0.8025
Close,0.8142
Volume,357214.0
Quote_Volume,288640.1556
sumpv,290055.04426666663
sumv,357152.0
vwap,0.84
index,795.0
mean,0.788542012578617
psum,626.8909000000006
dev,0.07972734440630438
v1,5.047020860188691
varince,0.006356449446081475
sd1_pos,0.8798636722031522
sd1_neg,0.8001363277968477
sd2_pos,0.9197273444063043
sd2_neg,0.7602726555936956
sd3_pos,0.9595910166094566
sd3_neg,0.7204089833905434
sd4_pos,0.9994546888126088
sd4_neg,0.6805453111873911
sd5_pos,1.039318361015761
sd5_neg,0.640681638984239
sd6_pos,1.079182033218913
sd6_neg,0.6008179667810868
sd7_pos,1.1190457054220653
sd7_neg,0.5609542945779347
sd8_pos,1.1589093776252175
sd8_neg,0.5210906223747824
hlc3,0.8121333333333333
