,1690
Date,2021-11-04 16:00:00
Open,15.5
High,15.667
Low,15.392
Close,15.593
Volume,67649.2
Quote_Volume,1051220.7556
sumpv,1051525.9629
sumv,67617.9
vwap,11.45
index,1691.0
mean,10.551357185097556
psum,17842.34499999997
dev,4.542519265761355
v1,34872.2733628841
varince,20.634481279813077
sd1_pos,13.721259632880678
sd1_neg,9.178740367119321
sd2_pos,15.992519265761354
sd2_neg,6.907480734238645
sd3_pos,18.26377889864203
sd3_neg,4.636221101357967
sd4_pos,20.53503853152271
sd4_neg,2.36496146847729
sd5_pos,22.806298164403387
sd5_neg,0.09370183559661172
sd6_pos,25.077557797284065
sd6_neg,-2.1775577972840647
sd7_pos,27.34881743016474
sd7_neg,-4.448817430164741
sd8_pos,29.620077063045418
sd8_neg,-6.720077063045419
hlc3,15.551
