,1690
Date,2021-11-04 16:00:00
Open,0.9486
High,0.96
Low,0.9407
Close,0.9567
Volume,542670.0
Quote_Volume,516840.2259
sumpv,509471.295
sumv,534878.0
vwap,0.85
index,1691.0
mean,0.7789265286812516
psum,1317.1647599999965
dev,0.29440060607477636
v1,146.47520148866064
varince,0.08667171685719564
sd1_pos,0.9972003030373882
sd1_neg,0.7027996969626118
sd2_pos,1.1444006060747762
sd2_neg,0.5555993939252236
sd3_pos,1.2916009091121645
sd3_neg,0.40839909088783544
sd4_pos,1.4388012121495528
sd4_neg,0.26119878785044726
sd5_pos,1.5860015151869409
sd5_neg,0.11399848481305908
sd6_pos,1.733201818224329
sd6_neg,-0.033201818224329105
sd7_pos,1.8804021212617172
sd7_neg,-0.18040212126171717
sd8_pos,2.0276024242991055
sd8_neg,-0.32760242429910547
hlc3,0.9525
