,458
Date,2021-11-04 16:00:00
Open,0.2408
High,0.2584
Low,0.2355
Close,0.2498
Volume,3718204.0
Quote_Volume,917506.0932
sumpv,914314.1973333333
sumv,3685760.0
vwap,0.24
index,459.0
mean,0.21793217138707338
psum,100.03086666666668
dev,0.02661039536566851
v1,0.32431581881487404
varince,0.0007081131415171922
sd1_pos,0.25330519768283427
sd1_neg,0.22669480231716574
sd2_pos,0.2666103953656685
sd2_neg,0.2133896046343315
sd3_pos,0.2799155930485028
sd3_neg,0.2000844069514972
sd4_pos,0.293220790731337
sd4_neg,0.18677920926866298
sd5_pos,0.3065259884141713
sd5_neg,0.1734740115858287
sd6_pos,0.31983118609700556
sd6_neg,0.16016881390299445
sd7_pos,0.3331363837798398
sd7_neg,0.1468636162201602
sd8_pos,0.346441581462674
sd8_neg,0.13355841853732595
hlc3,0.24806666666666666
