,3461
Date,2021-11-11 18:00:00
Open,4.579
High,4.584
Low,4.54
Close,4.54
Volume,11938.7
Quote_Volume,54452.7757
sumpv,54371.788799999995
sumv,11937.6
vwap,4.96
index,3462.0
mean,3.5029578471018707
psum,12127.240066666676
dev,1.5458562606507047
v1,8270.653333510301
varince,2.389671578592979
sd1_pos,5.7329281303253525
sd1_neg,4.187071869674647
sd2_pos,6.505856260650704
sd2_neg,3.4141437393492953
sd3_pos,7.278784390976057
sd3_neg,2.641215609023943
sd4_pos,8.05171252130141
sd4_neg,1.8682874786985906
sd5_pos,8.824640651626762
sd5_neg,1.095359348373238
sd6_pos,9.597568781952113
sd6_neg,0.3224312180478863
sd7_pos,10.370496912277467
sd7_neg,-0.45049691227746624
sd8_pos,11.143425042602818
sd8_neg,-1.2234250426028188
hlc3,4.554666666666666
