,1690
Date,2021-11-04 16:00:00
Open,0.04347
High,0.04368
Low,0.04249
Close,0.04344
Volume,48369739.6
Quote_Volume,2086549.294667
sumpv,2088346.3185386665
sumv,48326434.4
vwap,0.05
index,1691.0
mean,0.04913419672777436
psum,83.08592666666644
dev,0.022023694418323473
v1,0.8197228657555603
varince,0.0004850431158316925
sd1_pos,0.06101184720916174
sd1_neg,0.03898815279083827
sd2_pos,0.07202369441832347
sd2_neg,0.02797630558167653
sd3_pos,0.08303554162748522
sd3_neg,0.01696445837251479
sd4_pos,0.09404738883664696
sd4_neg,0.005952611163353057
sd5_pos,0.10505923604580869
sd5_neg,-0.005059236045808678
sd6_pos,0.11607108325497043
sd6_neg,-0.01607108325497042
sd7_pos,0.12708293046413216
sd7_neg,-0.027082930464132154
sd8_pos,0.1380947776732939
sd8_neg,-0.03809477767329389
hlc3,0.04321333333333333
