,3461
Date,2021-11-11 18:00:00
Open,12.943
High,13.023
Low,12.829
Close,12.914
Volume,50507.3
Quote_Volume,651701.0565
sumpv,652695.4995
sumv,50506.5
vwap,8.22
index,3462.0
mean,8.830627537069148
psum,30571.63253333339
dev,3.9133108639786345
v1,53001.76063865903
varince,15.314001918133206
sd1_pos,10.176655431989317
sd1_neg,6.263344568010684
sd2_pos,12.133310863978636
sd2_neg,4.306689136021366
sd3_pos,14.089966295967953
sd3_neg,2.3500337040320485
sd4_pos,16.04662172795727
sd4_neg,0.3933782720427317
sd5_pos,18.003277159946585
sd5_neg,-1.5632771599465851
sd6_pos,19.959932591935903
sd6_neg,-3.5199325919359037
sd7_pos,21.91658802392522
sd7_neg,-5.4765880239252205
sd8_pos,23.87324345591454
sd8_neg,-7.433243455914537
hlc3,12.923
