,3461
Date,2021-11-11 18:00:00
Open,7.107
High,7.111
Low,7.031
Close,7.044
Volume,75971.9
Quote_Volume,537419.1444
sumpv,536342.6574
sumv,75947.7
vwap,6.9
index,3462.0
mean,6.011686404775655
psum,20812.458333333318
dev,2.377442879878408
v1,19562.38411355959
varince,5.652234647084539
sd1_pos,8.088721439939205
sd1_neg,5.711278560060796
sd2_pos,9.277442879878409
sd2_neg,4.522557120121592
sd3_pos,10.466164319817612
sd3_neg,3.3338356801823883
sd4_pos,11.654885759756816
sd4_neg,2.145114240243184
sd5_pos,12.84360719969602
sd5_neg,0.9563928003039797
sd6_pos,14.032328639635224
sd6_neg,-0.23232863963522377
sd7_pos,15.221050079574429
sd7_neg,-1.421050079574428
sd8_pos,16.409771519513633
sd8_neg,-2.6097715195136324
hlc3,7.062
