,1690
Date,2021-11-04 16:00:00
Open,0.03178
High,0.0325
Low,0.03152
Close,0.03238
Volume,21826572.0
Quote_Volume,700802.61449
sumpv,689270.5012133333
sumv,21454778.0
vwap,0.03
index,1691.0
mean,0.029943089296274428
psum,50.633764000000056
dev,0.016889117881369802
v1,0.48205949175026086
varince,0.00028524230281080524
sd1_pos,0.0384445589406849
sd1_neg,0.021555441059315096
sd2_pos,0.046889117881369805
sd2_neg,0.013110882118630197
sd3_pos,0.0553336768220547
sd3_neg,0.004666323177945297
sd4_pos,0.06377823576273961
sd4_neg,-0.0037782357627396054
sd5_pos,0.0722227947034245
sd5_neg,-0.012222794703424508
sd6_pos,0.0806673536441094
sd6_neg,-0.020667353644109404
sd7_pos,0.08911191258479431
sd7_neg,-0.029111912584794307
sd8_pos,0.09755647152547921
sd8_neg,-0.03755647152547921
hlc3,0.032126666666666664
