,3461
Date,2021-11-11 18:00:00
Open,1.5126
High,1.5167
Low,1.498
Close,1.5017
Volume,74738.0
Quote_Volume,112477.4096
sumpv,112499.99299999999
sumv,74726.0
vwap,1.7
index,3462.0
mean,1.2671132774889298
psum,4386.746166666675
dev,0.5714479161757535
v1,1130.198967040476
varince,0.3265527209016111
sd1_pos,1.9857239580878767
sd1_neg,1.4142760419121232
sd2_pos,2.2714479161757533
sd2_neg,1.1285520838242464
sd3_pos,2.5571718742636302
sd3_neg,0.8428281257363697
sd4_pos,2.8428958323515072
sd4_neg,0.5571041676484929
sd5_pos,3.1286197904393838
sd5_neg,0.27138020956061615
sd6_pos,3.4143437485272603
sd6_neg,-0.014343748527260614
sd7_pos,3.7000677066151377
sd7_neg,-0.3000677066151376
sd8_pos,3.9857916647030143
sd8_neg,-0.5857916647030141
hlc3,1.5054999999999998
