,1690
Date,2021-11-04 16:00:00
Open,1.881
High,1.918
Low,1.881
Close,1.906
Volume,629897.2
Quote_Volume,1200156.6722
sumpv,1197521.9069333333
sumv,629832.7
vwap,1.39
index,1691.0
mean,1.3277727577370377
psum,2245.263733333331
dev,0.4983367464217741
v1,419.69377668986493
varince,0.2483395128342396
sd1_pos,1.639168373210887
sd1_neg,1.1408316267891128
sd2_pos,1.888336746421774
sd2_neg,0.8916632535782258
sd3_pos,2.137505119632661
sd3_neg,0.6424948803673387
sd4_pos,2.3866734928435482
sd4_neg,0.3933265071564517
sd5_pos,2.6358418660544354
sd5_neg,0.14415813394556465
sd6_pos,2.8850102392653225
sd6_neg,-0.10501023926532249
sd7_pos,3.134178612476209
sd7_neg,-0.3541786124762094
sd8_pos,3.3833469856870964
sd8_neg,-0.6033469856870965
hlc3,1.9013333333333333
