,1690
Date,2021-11-04 16:00:00
Open,12.167
High,12.344
Low,12.048
Close,12.232
Volume,310883.5
Quote_Volume,3802003.0864
sumpv,3795819.1590000005
sumv,310877.9
vwap,12.56
index,1691.0
mean,12.355526710033521
psum,20893.195666666685
dev,3.444090042889577
v1,20046.368017767607
varince,11.861756223531128
sd1_pos,14.28204502144479
sd1_neg,10.837954978555212
sd2_pos,16.004090042889576
sd2_neg,9.115909957110423
sd3_pos,17.726135064334365
sd3_neg,7.393864935665635
sd4_pos,19.448180085779153
sd4_neg,5.671819914220847
sd5_pos,21.170225107223942
sd5_neg,3.949774892776059
sd6_pos,22.89227012866873
sd6_neg,2.2277298713312703
sd7_pos,24.61431515011352
sd7_neg,0.5056848498864817
sd8_pos,26.336360171558308
sd8_neg,-1.216360171558307
hlc3,12.21
