,3461
Date,2021-11-11 18:00:00
Open,2.413
High,2.419
Low,2.394
Close,2.394
Volume,201053.5
Quote_Volume,483685.5586
sumpv,482972.7608
sumv,201015.3
vwap,2.85
index,3462.0
mean,2.760316676295001
psum,9556.216333333294
dev,0.9501380578830118
v1,3124.460420799485
varince,0.9027623290377015
sd1_pos,3.325069028941506
sd1_neg,2.374930971058494
sd2_pos,3.8001380578830117
sd2_neg,1.8998619421169884
sd3_pos,4.275207086824517
sd3_neg,1.4247929131754824
sd4_pos,4.750276115766024
sd4_neg,0.9497238842339766
sd5_pos,5.225345144707529
sd5_neg,0.47465485529247076
sd6_pos,5.700414173649035
sd6_neg,-0.00041417364903528764
sd7_pos,6.1754832025905415
sd7_neg,-0.4754832025905409
sd8_pos,6.650552231532047
sd8_neg,-0.9505522315320469
hlc3,2.4026666666666667
