,3461
Date,2021-11-11 18:00:00
Open,0.343
High,0.3438
Low,0.3415
Close,0.3422
Volume,373037.0
Quote_Volume,127906.1621
sumpv,127766.64600000001
sumv,373005.0
vwap,0.32
index,3462.0
mean,0.3073443331407656
psum,1064.0260813333305
dev,0.11730312046330374
v1,47.62343638575251
varince,0.013760022070428347
sd1_pos,0.37865156023165186
sd1_neg,0.26134843976834815
sd2_pos,0.4373031204633038
sd2_neg,0.20269687953669627
sd3_pos,0.49595468069495563
sd3_neg,0.14404531930504438
sd4_pos,0.5546062409266075
sd4_neg,0.08539375907339253
sd5_pos,0.6132578011582593
sd5_neg,0.026742198841740672
sd6_pos,0.6719093613899112
sd6_neg,-0.03190936138991124
sd7_pos,0.7305609216215632
sd7_neg,-0.0905609216215631
sd8_pos,0.7892124818532149
sd8_neg,-0.14921248185321495
hlc3,0.34253333333333336
