,1690
Date,2021-11-04 16:00:00
Open,7.378
High,7.475
Low,7.3
Close,7.405
Volume,1047837.3
Quote_Volume,7744838.7617
sumpv,7732378.6222
sumv,1045905.4
vwap,7.33
index,1691.0
mean,7.1429876739601665
psum,12078.792156666641
dev,2.7507780258148182
v1,12787.857772946581
varince,7.566779747305669
sd1_pos,8.705389012907409
sd1_neg,5.954610987092591
sd2_pos,10.08077802581482
sd2_neg,4.579221974185182
sd3_pos,11.456167038722228
sd3_neg,3.2038329612777723
sd4_pos,12.831556051629637
sd4_neg,1.8284439483703636
sd5_pos,14.206945064537045
sd5_neg,0.45305493546295494
sd6_pos,15.582334077444456
sd6_neg,-0.9223340774444555
sd7_pos,16.957723090351863
sd7_neg,-2.297723090351864
sd8_pos,18.333112103259275
sd8_neg,-3.673112103259273
hlc3,7.393
