,1690
Date,2021-11-04 16:00:00
Open,2.605
High,2.634
Low,2.583
Close,2.623
Volume,89878.1
Quote_Volume,234860.084
sumpv,234264.3970333333
sumv,89607.7
vwap,2.26
index,1691.0
mean,2.313556199487482
psum,3912.2235333333315
dev,0.5642436654167879
v1,538.0468445974229
varince,0.3183709139629721
sd1_pos,2.5421218327083936
sd1_neg,1.977878167291606
sd2_pos,2.8242436654167875
sd2_neg,1.6957563345832118
sd3_pos,3.106365498125182
sd3_neg,1.4136345018748178
sd4_pos,3.3884873308335757
sd4_neg,1.131512669166424
sd5_pos,3.6706091635419695
sd5_neg,0.84939083645803
sd6_pos,3.952730996250364
sd6_neg,0.567269003749636
sd7_pos,4.234852828958758
sd7_neg,0.2851471710412419
sd8_pos,4.516974661667152
sd8_neg,0.0030253383328480155
hlc3,2.614333333333333
